category,prod_id,rating,polarity,review,review_len,review_id
All_Beauty,B005U5KU46,1.0,negative,these shields were too flimsy did not sick and bunched up will not purchase again,15,8
All_Beauty,B005U5KU46,5.0,positive,great product i used these for a series of interviews that i would not have time to have my suit cleaned between every interview they worked perfect to keep odors off of the jackets i used,35,13
All_Beauty,B005U5KU46,4.0,positive,the shields are made to be more flexible so stayed on all day on my jacket i had a sleeveless top under so they protected my jacket well just be mindful when you take the jacket off / put it on i will continue to use these much improved from older versions that would come off,56,9
All_Beauty,B005U5KU46,4.0,positive,they did the job but part of the pads were sticking to my skin which bothered me at first then it was okay,23,21
All_Beauty,B005U5KU46,5.0,positive,these are very thin pull off easily without residue rare the only odd thing about these is that on the crease it actually had cut out slits along it so technically a person could sweat through those slit openings on the crease of their jacket / shirts,45,0
All_Beauty,B005U5KU46,2.0,negative,very hard to position not worth the hassle,8,11
All_Beauty,B005U5KU46,4.0,positive,i can see how these may not be the best for a shirt however they have saved me on dry-cleaning for my work blazers a nice blazer or jacket is expensive and it is awesome to get a few wears out of each during either a big client meeting or a hot spring / summer day these will be stocking stuffers over the holidays for sure,63,16
All_Beauty,B005U5KU46,2.0,negative,these are good in theory but they do not stick to my clothing,12,17
All_Beauty,B006H8X3JO,4.0,positive,i recieved my machine today it arived on time and had everything in it it all works great but the coil looked burnt when i got it but after cleaning it it all worked fantastic awsome for beginer artist it could use a book of how to set up,49,9
All_Beauty,B006H8X3JO,5.0,positive,the kit came 1 day late but it is cool laughing out loud the grip is not the one they show it is straight n ink caps white no biggie thanks you,30,11
All_Beauty,B006H8X3JO,5.0,positive,i was very impressed i plan on ordering from them for all my tattoo supplies,15,0
All_Beauty,B006H8X3JO,5.0,positive,i like dragon hawk products because your tattoo kits have a great price for people like me that is starting out tattooing and i check out others brands of tattoo kits but no one had a better deals but dragon hawk is the place to start if you love tattooing and want good deals of tattoo kits ps wow your kits only have a big black ink bottle that will last me awhile and saves me money thanks and you got a costumer for life,86,13
All_Beauty,B006H8X3JO,5.0,positive,it is doing good so far i highly prefer to have my own kit because of prices of tattoos i love this,23,5
All_Beauty,B006H8X3JO,4.0,positive,it is a good starter kit but over heats with bigger tattoos power box shorted out but they mailed me a nee one with no problems very nice people i would recomend this kit,34,8
All_Beauty,B006H8X3JO,1.0,negative,when i got this it had a few problems including screws being stripped and i was not able to use it,21,2
All_Beauty,B006H8X3JO,4.0,positive,i really like my gun run 2 tattoos it is smooth will order another one,15,1
All_Beauty,B00H4EEK1K,1.0,negative,this cover does not fit the trio stealth the corner pieces do not stay in place and are not large enough to hold the tablet the case does not stay in the upright position when trying to stand it up very disappointed,42,36
All_Beauty,B00H4EEK1K,5.0,positive,i love this case it is everything I have been looking for and great protection for my tablet i was worried about the corner tabs not holding my tablet securely they hold great way better than i could ever imagine thank you,40,16
All_Beauty,B00H4EEK1K,2.0,negative,elastic clips were inconsistent on both pieces we purchased the inconsistencies allowed the tablet to not only slide back and forth but would slide right out the side and ultimately would hit the floor as although it had no case at all,42,4
All_Beauty,B00H4EEK1K,5.0,positive,these are great cases i bought them for the tablets that my grandkids got for christmas if they can not wreck them no can,23,9
All_Beauty,B00H4EEK1K,1.0,negative,i was totally disappointed one of the straps pulled out within two days i would have sent it back but i had already thrown the bag away and box with all the christmas paper definitely would not recommend this to anyone,41,45
All_Beauty,B00H4EEK1K,1.0,negative,the tablet keeps popping ouy of the little brackets not good quality at all having to buy a new case drom a different company,24,40
All_Beauty,B00H4EEK1K,5.0,positive,i really like this tablet case it fits the trio stealth-10 perfectly the claws hold the tablet very snugly to the case there is no room for play that would allow it to fall out theis very vibrant and i love the black elastic band that holds the case tightly closed and the bonus stylus fits perfectly in the ear plug outlet so it will always be available,70,61
All_Beauty,B00H4EEK1K,1.0,negative,does not work it is just another universal case just as someone else said you have to remove it from case to use camera,23,5
All_Beauty,B00ITNNI4K,4.0,positive,i liked it a lot it looks really nice on a hand and it does not look cheap the only thing that was bad few of the little rings in the chain were not closed properly so i had to fix it with pliers so that it would not fall apart,50,0
All_Beauty,B00ITNNI4K,5.0,positive,kinda big i have small wrists very cute although,9,17
All_Beauty,B00ITNNI4K,5.0,positive,thiswas well worth what i paid for it it was good quality for the price and i received it very quickly,23,15
All_Beauty,B00ITNNI4K,4.0,positive,it is okay and i like it however it is cheaply made,11,1
All_Beauty,B00ITNNI4K,4.0,positive,product as expected but although stated it would be slow was even longer than expected as other items ordered from over seas on the same day can a week sooner,30,8
All_Beauty,B00ITNNI4K,1.0,negative,very I shall fitting ring too small bracelet too big,9,5
All_Beauty,B00ITNNI4K,1.0,negative,got thistoday and it was already broken,9,11
All_Beauty,B00ITNNI4K,2.0,negative,i bought another one of these in silver and they both lose theirafter wear for about 20 minutes in hot weather I am never buying these again,28,3
All_Beauty,B00NLNO554,4.0,positive,time will tell whether the caps fall off but so far so good the pens write well no skipping they do not feel cheap in the hand the little o-ring on top of each cap is small but i did not have a problem fitting it onto a small flashlights o-ring after i removed the chain the chain itself is not sturdy to the eye or feel essentially useless i would not trust it to hold otherwise I am pleased,76,36
All_Beauty,B00NLNO554,1.0,negative,I have had these pens for less than a month and I am on the third one as the pens have fallen out of the caps i have the pen attached to my work badge i work in an office setting so there has not a lot to grab / catch on the pens but they continue to fall out I have been walking across the office and had coworkers stop me because my pen is laying on the ground some feet back i would not buy these again nor suggest that others buy them either,90,16
